723,973 Route 73,4,NULL,lease,Retail Space Available for Lease,Upscale Shopping Center,<p>Great visibility from highway. High traffic area. Heavy commercial &amp; residential. Strong demographics. Recently renovated.</p>,<p>Great visibility from highway. High traffic area. Heavy commercial &amp; residential. Strong demographics. Recently renovated.</p>,973 Route 73,,Marlton,nj,8053,camden,39.8572131,-74.921693,"65 
68 
69 ",New,0,0,1,,0,{demograph,{demograph,{demograph,{demograph,{demographics_row_1:value},{demographics_row_2:value},{demographics_row_3:value},{demographics_row_4:value},{demographics_row_5:value},NULL,f588fba86fe6dbfa081b86e2efd5d778,NULL,NULL,1
724,Cherry Hill Plaza,3,NULL,lease,Cherry Hill Plaza,"For Lease 1,200 - 5,700 SF",<p>Located at Route 70 and I-295. Broker bonus of $1.00/SF. (Min. 5 year term.)</p>,<p>Located at Route 70 and I-295. Broker bonus of $1.00/SF. (Min. 5 year term.)</p>,1415 Route 70 East,,Cherry Hill,nj,8034,Camden,39.909821,-74.991021,"64 
63 
",,0,0,0,,0,{demograph,{demograph,{demograph,{demograph,{demographics_row_1:value},{demographics_row_2:value},{demographics_row_3:value},{demographics_row_4:value},{demographics_row_5:value},NULL,38c6587407232225e2331529b0554c03,NULL,NULL,0
730,2120 Voorhees Town Center Voorhees NJ,3,NULL,lease,VOORHEES TOWN CENTER,CLASS A OFFICE SPACE FOR LEASE,"<p>Class A office space below market rental rate. Generous tenant improvement allowances. Campus environment with retail, residential & office. Rentable & usable square footage are the same, no loss factor. Escalators & Elevators. 24/7 HVAC & security.</p>","<p />Class A office space below market rental rate. Generous tenant improvement allowances. Campus environment with retail, residential & office. ",2120 Voorhees Town Center,,Voorhees,nj,8043,Camden,39.84927282,-75.00376041,"67

",,0,0,0,,0,{demograph,{demograph,{demograph,{demograph,{demographics_row_1:value},{demographics_row_2:value},{demographics_row_3:value},{demographics_row_4:value},{demographics_row_5:value},NULL,c9ec6863964f2e197745e9ad836d3fec,NULL,NULL,1
731,Offices at South Crossing,3,NULL,lease,SALE OR LEASE,MEDICAL/PROFESSIONAL OFFICE SPACE,<p>Located just off Route 73 at The Promenade.</p><p>Base Year 2014 on Operating Expenses.</p><p>Existing Conditions:  Medical.</p>,"<p>Located just off Route 73 at The Promenade.</p>
Base Year 2014 on Operating Expenses.  Existing Conditions:  Medical.",Lippincott Dr. & Brick Rd.,,Marlton,nj,8053,Burlington,39.88129081,-74.92478222,"63

",Leased,0,0,0,,0,{demograph,{demograph,{demograph,{demograph,{demographics_row_1:value},{demographics_row_2:value},{demographics_row_3:value},{demographics_row_4:value},{demographics_row_5:value},NULL,91579868431ff325a20b103737d2da95,NULL,NULL,1
732,801 N. Kings Highway,3,NULL,"sale
lease","FOR SALE: OFFICE +/- 6,340 SF CHERRY HILL, NJ",CLASS “A” STAND ALONE OFFICE BUILDING,"<p>Great stand alone office building with high visibility and signage. Perfect for all professional uses with large conference rooms and window-lined private offices. High-end finishes throughout. Close to Rt. 70, I-295 and NJ Turnpike.</p>","<p>Great stand alone office building with high visibility and signage. Perfect for all professional uses with large conference rooms and window-lined private offices. High-end finishes throughout. Close to Rt. 70, I-295 and NJ Turnpike.</p>",801 N. Kings Highway,,Cherry Hill,nj,8034,Camden,39.923405,-74.999347,"68

",,0,0,0,01-Office,32325,{demograph,{demograph,{demograph,{demograph,{demographics_row_1:value},{demographics_row_2:value},{demographics_row_3:value},{demographics_row_4:value},{demographics_row_5:value},NULL,343e8c6cd1f751e6ac3594074495a5c2,NULL,NULL,1
737,Drexel University Medical Building,3,NULL,"sale
lease",BLACKWOOD MEDICAL OFFICE BUILDING,FOR SALE,<p>Drexel University Medical Building. 4800 square foot medical office building. Conveniently located directly off of Rt 42 and Black Horse Pike. Very easy for patients and clients to get to.</p>,<p>Drexel University Medical Building. 4800 square foot medical office building. Conveniently located directly off of Rt 42 and Black Horse Pike. Very easy for patients and clients to get to.</p>,400 East Church St,,Blackwood,nj,,Camden,39.802074,-75.061192,67 ,Price Reduced,0,0,0,,0,{demograph,{demograph,{demograph,{demograph,{demographics_row_1:value},{demographics_row_2:value},{demographics_row_3:value},{demographics_row_4:value},{demographics_row_5:value},NULL,a4733d03fa68e5056aa8a1d05e2620f6,NULL,NULL,1
739,425 Route 70 W,3,NULL,sale,"FREE STANDING BUILDING - CHERRY HILL, NJ",GREAT SIGNAGE ON ROUTE 70,<p>Free standing building on Route 70 in Cherry Hill</p><p>Great Signage on Route 70</p><p>Current Use - Law Firm</p>,"Free standing building on Route 70 in Cherry Hill. 
Great Signage on Route 70.
Current Use - Law Firm",425 Route 70 W,,Cherry Hill,nj,8002,Camden,39.9148123,-75.0155514,"64 
68 
",Under Agreement,0,0,0,Commercial,0,{demograph,{demograph,{demograph,{demograph,{demographics_row_1:value},{demographics_row_2:value},{demographics_row_3:value},{demographics_row_4:value},{demographics_row_5:value},NULL,2b2e965343ebbb61d413f0d4262580c1,NULL,NULL,1
740,South Jersey Professional Center,3,NULL,"sale
lease",MEDICAL OFFICE CONDO FOR SALE OR LEASE,5000 SQUARE FEET,"5,000 square office condo for sale in four year old Class A medical building.","5,000 square office condo for sale in four year old Class A medical building.","1001 Laurel Oak Drive, Suite E2",,Voorhees,nj,,,39.843604,-74.979544,"67 

",,0,0,0,,0,{demograph,{demograph,{demograph,{demograph,{demographics_row_1:value},{demographics_row_2:value},{demographics_row_3:value},{demographics_row_4:value},{demographics_row_5:value},NULL,a2b34222b1bac13dabc7e7b8ff99e9cb,NULL,NULL,1
741,204 Kings Highway South,3,NULL,sale,FREE-STANDING BUILDING FOR SALE,"2,500 +/- SF OFFICE SPACE - CHERRY HILL","<p>Free standing building on Kings Highway South in Cherry Hill.</p><p>2,500 +/- SF with 756 SF of storage</p><p>Parking:  11 spaces</p>","Free standing building on Kings Highway South in Cherry Hill.<br />
2,500 +/- SF with 756 SF of storage<br />
Parking:  11 spaces",204 Kings Highway South,,Cherry Hill,nj,,,39.912033,-75.013023,"64 

",SOLD,0,0,0,,0,{demograph,{demograph,{demograph,{demograph,{demographics_row_1:value},{demographics_row_2:value},{demographics_row_3:value},{demographics_row_4:value},{demographics_row_5:value},NULL,0a446495263caf81a8764ae6796b702a,NULL,NULL,1
742,1100 Route 70 E,"3
4",NULL,lease,,,<p>High visiblity.</p><p>Stand alone building at great intersection of Route 70 and Kingston Road.</p><p>Great for both retail or office uses.</p><p>Would consider build to suit.</p>,High visibility.  Stand alone building at great intersection of Route 70 and Kingston Road.  Great for both retail or office uses.  Would consider build to suit.,1100 Route 70 E,,Cherry Hill,nj,8034,Camden,39.911934,-74.998008,"68

",,0,0,55000,B-1,0,{demograph,{demograph,{demograph,{demograph,{demographics_row_1:value},{demographics_row_2:value},{demographics_row_3:value},{demographics_row_4:value},{demographics_row_5:value},NULL,cff2e5e696557df07ff99bc754113fe3,NULL,NULL,1
